Feasibility Group,Stack ID,Data Platform,CI/CD,Orchestration,Problem Code,Problem,Best Approach 1,Best Approach 2,Best Approach 3,Rationale for This Stack,Less Suitable / Likely Blocked
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 1 - Lowest barriers,S11,Snowflake,Azure DevOps,Azure Data Factory,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,B,Delta generation complexity,Deployment history / state table,Sequential migration numbering,Package each generation as an immutable release artifact,Schema-aware stacks benefit from migration sequencing plus stored execution state.,Avoid pure file-diff deployment without execution state.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 1 - Lowest barriers,S12,Snowflake,Azure DevOps + SchemaChange,Airflow,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 1 - Lowest barriers,S17,Google BigQuery,Google Cloud Build,Airflow,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 1 - Lowest barriers,S21,Google BigQuery,GitLab,Airflow (Cloud Composer),I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,A,No logical bundle awareness,Release manifest per generation,Package each generation as an immutable release artifact,PR / merge validation for single-bundle releases,Use repo-native controls and promote release artifacts instead of raw commits.,Avoid local desktop bundlers or Git history rewriting.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,B,Delta generation complexity,Deployment history / state table,Sequential migration numbering,Package each generation as an immutable release artifact,Schema-aware stacks benefit from migration sequencing plus stored execution state.,Avoid pure file-diff deployment without execution state.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,D,Deployment order and dependency risks,Stage-based deployment order,File classification metadata,Pre-deployment dependency validation,"When orchestration is weak, deployment order must be encoded in metadata and phases.",Avoid folder-order-only logic if dependencies are non-trivial.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,F,FMC deployment,Separate FMC deployment stage,FMC capability matrix,Optional FMC deployment mode,"Where orchestration is light, FMC must be kept optional and separately governed.",Avoid hard-wiring FMC into every deployment path.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 1 - Lowest barriers,S25,Snowflake,DataOps.live,Other,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Core alternative path,Separate governance path for dbt deployments,"For legacy or non-dbt stacks, dbt should be an optional side-path with separate governance.",Avoid forcing dbt Cloud into stacks that are not ready for it.
Group 1 - Lowest barriers,S33,Microsoft SQL Server,Azure DevOps,Azure Data Factory,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,D,Deployment order and dependency risks,Stage-based deployment order,Separate FMC deployment stage,Dependency graph in manifest,Keep FMC/dbt-related deployment separate from core object deployment.,Avoid mixing base-object and framework deployment in one unordered step.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,F,FMC deployment,Separate FMC deployment stage,Target-specific FMC adapter layer,FMC section in release manifest,FMC-heavy stacks should isolate FMC deployment and describe it explicitly in release metadata.,Avoid embedding FMC logic inside general DDL deployment steps.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 2 - Low to moderate barriers,S03,Snowflake,GitLab,Generic FMC - Snowflake,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 2 - Low to moderate barriers,S04,Snowflake,GitLab,Airflow,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,B,Delta generation complexity,Deployment history / state table,Manifest-driven deployment,Package each generation as an immutable release artifact,Warehouse/database targets need an auditable executed-state model.,Avoid relying only on Git diff or commit order.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Core alternative path,Separate governance path for dbt deployments,"For legacy or non-dbt stacks, dbt should be an optional side-path with separate governance.",Avoid forcing dbt Cloud into stacks that are not ready for it.
Group 2 - Low to moderate barriers,S05,Azure Synapse,GitHub,Azure Data Factory,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,B,Delta generation complexity,Deployment history / state table,Package each generation as an immutable release artifact,Manifest-driven deployment,"Databricks still needs release state, even when code is packaged as jobs/notebooks.",Avoid assuming notebook deployment alone solves rerun control.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,C,Missing default CI/CD pipelines,Reference pipelines per target stack,Stack-to-pipeline generator UI,Template repositories customers can clone,These stacks can adopt starter pipelines quickly if templates exist in the native CI system.,Avoid documentation-only guidance without runnable examples.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,D,Deployment order and dependency risks,Stage-based deployment order,Pre-deployment dependency validation,Target-specific order rules / adapter,"The orchestrator can enforce phased execution, but order rules still need target awareness.",Avoid flat script execution without dependency checks.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,E,Error handling gaps,Per-step execution status tracking,Resume from last successful step,Persistent deployment state store,Modern pipelines can persist state and safely resume failed bundles.,Avoid restart-from-zero for partially applied releases.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,F,FMC deployment,Separate FMC deployment stage,FMC pipeline templates per target,FMC capability matrix,These stacks benefit from a separate FMC flow plus target-specific handoff patterns.,Avoid one universal FMC execution method for all targets.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,G,No hooks for custom code,Hook extension points in pipeline templates,Manifest-defined pre/post/failure hooks,Environment-specific hooks,Use controlled extension points inside the native pipeline rather than free-form custom scripting.,Avoid undocumented custom script steps in production pipelines.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,H,dbt Cloud deployment,Separate dbt deployment mode,dbt Cloud adapter template,dbt Core alternative path,"If dbt Cloud is introduced, keep it separate and offer a dbt Core fallback for blocked enterprises.",Avoid assuming dbt Cloud is approved in all enterprises.
Group 2 - Low to moderate barriers,S06,Databricks,Azure DevOps,Azure Data Factory,I,Template Studio impact,Stable deployment contract,Metadata-driven deployment logic,Versioned manifest schema,"Modern stacks can absorb template change if deployment consumes stable metadata, not folder assumptions.",Avoid file-name- or path-driven deployment logic.
Group 2 - Low to moderate barriers,S07,Fabric,Azure DevOps,Azure Data Factory,A,No logical bundle awareness,Release manifest per generation,PR / merge validation for single-bundle releases,Package each generation as an immutable release artifact,Modern SCM lets you enforce bundle checks at PR/merge time.,Avoid relying only on branch naming or squash-merge assumptions.
